ccaa,dosisAdministradas
Andalucía,4087772
Aragón,757163
Asturias,689279
Baleares,471730
Canarias,883279
Cantabria,323878
Castilla y Leon,1510435
Castilla La Mancha,1073858
Cataluña,3744065
C. Valenciana,2413113
Extremadura,615201
Galicia,1705317
La Rioja,174544
Madrid,3162722
Murcia,638774
Navarra,353577
País Vasco,1216832
Ceuta,33283
Melilla,29595
